Budget,Config,Targets,Rank,Trainable,Base Acc,FT Acc,Delta
~1.6M,E1a_q_proj,q,14,1605632,0.4716,0.6952,+0.2237
~1.6M,E1b_v_proj,v,19,1634304,0.4716,0.6846,+0.2130
~1.6M,E1c_qv_proj,N/A,,,0.4882,0.6876,+0.1994
~1.6M,E1d_attention,N/A,,,0.4882,0.6975,+0.2092
~1.6M,E1e_all_linear,N/A,,,0.4882,0.6998,+0.2115
~2.6M,E1a_q_proj_rebalanced,q,19,2179072,0.4716,0.7066,+0.2350
~2.6M,E1b_v_proj_rebalanced,v,25,2150400,0.4716,0.7051,+0.2335
~2.6M,E1c_qv_proj_rebalanced,q+v,11,2207744,0.4716,0.7013,+0.2297
~2.6M,E1d_attention_rebalanced,q+k+v+o,5,2007040,0.4716,0.6975,+0.2259
~2.6M,E1e_all_linear,N/A,,,0.4882,0.6998,+0.2115
~4.4M,E4.4m_all_linear,q+k+v+o+gate+up+down,4,4358144,0.4716,0.6990,+0.2274
~4.4M,E4.4m_attention,q+k+v+o,11,4415488,0.4716,0.7157,+0.2441
~4.4M,E4.4m_q_proj,q,38,4358144,0.4716,0.7051,+0.2335
~4.4M,E4.4m_qv_proj,q+v,22,4415488,0.4716,0.6998,+0.2282
~4.4M,E4.4m_v_proj,v,51,4386816,0.4716,0.6960,+0.2244
